,label,text
0,Psoriasis,"I've had these itchy, red patches on my elbows and scalp for months now. They're getting worse and it seems like they're spreading to my knees too."
1,Varicose Veins,"My limbs feel like weighted blankets, dragging me down with every step. The discomfort is unbearable, like tiny needles pricking beneath the surface of my skin."
2,Typhoid,"I have been experiencing high fever, weakness, and severe abdominal pain. Additionally, I feel nauseous and have lost my appetite."
3,Chicken pox,"As a child, I've had a low-grade fever and been feeling generally unwell for the past few days. Now, I've noticed dozens of small, itchy red bumps appearing all over my body, some of which have developed into fluid-filled blisters."
4,Impetigo,"small, fluid-filled blisters on face and hands that burst, leaving yellowish crust and itching"
5,Dengue,"I'm experiencing a persistent and recurring fever that can last up to 7 days, with episodes of high temperature often appearing in cycles, alongside intense headaches that have been fluctuating in intensity over the past 2 weeks, sometimes dull and throbbing, other times sharp and debilitating, and my joints have been aching frequently, especially in my wrists and ankles, for the past month, while also suffering from fatigue that has been steadily worsening over the past 6 weeks, making even simple daily tasks exhausting."
6,Fungal infection,"I've been noticing a strange burning sensation on the sole of my left foot for about three weeks now, and just today I woke up with a painful red rash spreading up my leg that's been getting worse by the hour. For the past month, I've also been experiencing itchy, flaky patches on my scalp, which I've been brushing off as a minor case of dandruff, but now I'm worried it might be something more serious."
7,Common Cold,"My throat bears an unsettling weight, each cough like nails on a chalkboard grating against my ears. The fog in my head lingers like suffocating mist, and my eyes weep like leaky faucets, blurring the world around me."
8,Pneumonia,"Doc, I've been feeling exhausted for weeks now, even after getting a full night's sleep, and I think it's because of the increasingly persistent cough that started a month ago with a low-grade fever, but it's been getting worse over the past 3 days with sharp chest pains, especially when I cough or take deep breaths, and I've also had a few episodes of watery nasal discharge and itchy eyes since winter started setting in."
9,Arthritis,"Doc, I've been waking up with this nagging stiffness in my hands and knees for the past few months, and it's been getting worse over the past week - some mornings I can barely grip my coffee cup or walk down the stairs without feeling like my joints are on fire. Lately, I've also noticed that even simple activities like gardening or playing with my grandkids leave me with a dull ache in my hips and lower back that can last for hours, even after I've stopped moving around."
10,Acne,"I've been experiencing itchy red bumps on my forehead and chin for the past few weeks, which I initially thought were just stress-related breakouts, but now they're becoming more persistent and inflamed. Over the past few days, I've also noticed painful whiteheads on my nose and around my mouth, accompanied by a dull, grainy texture on my skin that makes me feel self-conscious and anxious about social interactions."
11,Bronchial Asthma,"I've been having these episodes of shortness of breath and wheezing, especially at night or early morning, which have been waking me up for the past few weeks, and lately, even walking up the stairs or playing with my kids has left me gasping for air. Sometimes, I get this nagging cough that produces thick yellow mucus, and no matter how much I rest, I feel like I'm always tired and winded, like I've been running a marathon."
12,Hypertension,"Over the past few months, I've noticed that even simple activities like climbing the stairs or carrying groceries have left me feeling exhausted and short of breath. Lately, I've also been experiencing frequent headaches and mildly painful pulsations in my temples, which I've written off as stress-related, but now that I'm tracking my blood pressure, I'm worried that it's more than just stress."
13,Migraine,"I've been waking up every morning for the past 6 months with this perpetual stabbing sensation, always above my right eye socket. I also experience issues with sight, almost as if my vision has been blinded daily. There are frequent intervals of nausea and vomiting, particularly when I work long hours. It's a combination of headaches and a throbbing pain in my eye that is so severe it's affecting my daily life. At times, my eyes feel like they're under constant pressure, which worsens in the evening. The sensations have made it difficult to concentrate and have persisted despite various treatments. I'm concerned this may be related to chronic migraines or sinus issues."
14,Cervical spondylosis,"My throat feels like a rusted gate, constantly creaking and straining. Sometimes, it feels like an icy fist gripping my neck, making it hard to turn and even swallow."
